Date|Close|Open|High|Low|Volume|Change|Value
1997-05-20|734.67|723.16|734.76|722.35|62.85M|1.87%|1
1997-05-21|737.71|735.3|739.73|729.32|64.19M|0.41%|1
1997-05-22|724.38|737.18|738.18|723.54|60.05M|-1.81%|0
1997-05-23|730.53|723.67|730.54|715.53|53.94M|0.85%|1
1997-05-24|725.17|731.98|734.79|724.75|37.74M|-0.73%|0
1997-05-26|718.99|724.71|725.51|717.35|39.27M|-0.85%|0
1997-05-27|723.35|719.82|724.39|716.51|39.81M|0.61%|1
1997-05-28|738.12|724.97|738.12|724.97|56.09M|2.04%|1
1997-05-29|742.5|745.26|749.37|741.85|65.09M|0.59%|1
1997-05-30|746.36|742.38|752.29|741|55.23M|0.52%|1
1997-05-31|756.77|744.68|756.78|740.01|38.90M|1.39%|1
1997-06-02|758.39|758.92|770.97|756.88|84.89M|0.21%|1
1997-06-03|766.06|758.89|766.49|753.36|60.61M|1.01%|1
1997-06-04|763.25|766.54|774.48|755.01|87.93M|-0.37%|0
1997-06-05|765.67|762.92|766.77|761.67|51.34M|0.32%|1
1997-06-07|762.77|768.14|775.15|762.72|35.30M|-0.38%|0
1997-06-09|775.01|764.91|775.02|762.42|56.96M|1.60%|1
1997-06-10|769.83|777.88|781.51|769.11|67.08M|-0.67%|0
1997-06-11|765.79|769.7|770.58|764.94|46.15M|-0.52%|0
1997-06-12|774.66|767.94|777.88|767.94|59.66M|1.16%|1
1997-06-13|789.15|775.67|789.4|775.67|83.74M|1.87%|1
1997-06-14|791.97|792.19|798.89|790.41|59.69M|0.36%|1
1997-06-16|789.05|793.57|796.81|786.16|58.74M|-0.37%|0
1997-06-17|792.29|790.99|798.76|783.32|60.00M|0.41%|1
1997-06-18|773.21|793.02|799.54|768.04|54.34M|-2.41%|0
1997-06-19|770.95|769.69|779.17|763.18|48.75M|-0.29%|0
1997-06-20|770.22|772.6|775.61|766.25|42.20M|-0.09%|0
1997-06-21|760.4|770.15|771.43|760.31|23.40M|-1.27%|0
1997-06-23|753.05|759.33|762.44|751.85|31.69M|-0.97%|0
1997-06-24|753.7|751.63|753.97|747.29|34.45M|0.09%|1
1997-06-25|744.99|753.72|753.85|742.52|37.28M|-1.16%|0
1997-06-26|744.34|746.07|751.99|741.72|44.38M|-0.09%|0
1997-06-27|738.43|743.39|751.38|737.98|42.40M|-0.79%|0
1997-06-28|746.89|738.18|746.92|738.08|25.63M|1.15%|1
1997-06-30|745.4|746.3|753.56|744.21|29.26M|-0.20%|0
1997-07-01|758.03|744.98|760.52|744.67|36.99M|1.69%|1
1997-07-02|777.29|763.39|777.29|763.39|52.24M|2.54%|1
1997-07-03|775.26|778.82|782.17|773.27|51.20M|-0.26%|0
1997-07-04|781.7|776.02|783.24|773.9|47.95M|0.83%|1
1997-07-05|779.24|781.5|783.11|778.88|29.89M|-0.31%|0
